timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_recv,duration_ms,flags
2025-10-15 08:00:01,192.168.1.100,203.0.113.45,54321,443,TCP,1245,8934,450,PSH-ACK
2025-10-15 08:00:03,192.168.1.100,203.0.113.45,54322,443,TCP,892,12453,380,PSH-ACK
2025-10-15 08:00:05,10.0.0.50,192.168.1.10,49152,22,TCP,156,0,100,SYN
2025-10-15 08:00:06,10.0.0.50,192.168.1.10,49153,22,TCP,156,0,100,SYN
2025-10-15 08:00:07,192.168.1.100,8.8.8.8,55123,53,UDP,78,125,50,None
2025-10-15 08:00:08,10.0.0.50,192.168.1.10,49154,22,TCP,156,0,100,SYN
2025-10-15 08:00:09,192.168.1.105,203.0.113.67,44567,80,TCP,567,3421,320,PSH-ACK
2025-10-15 08:00:10,10.0.0.50,192.168.1.10,49155,22,TCP,156,0,100,SYN
2025-10-15 08:00:11,192.168.1.100,203.0.113.45,54323,443,TCP,2345,15678,520,PSH-ACK
2025-10-15 08:00:12,10.0.0.50,192.168.1.10,49156,22,TCP,156,0,100,SYN
2025-10-15 08:00:14,10.0.0.50,192.168.1.10,49157,22,TCP,156,234,150,PSH-ACK
2025-10-15 08:00:15,192.168.1.105,93.184.216.34,44568,80,TCP,456,2876,280,PSH-ACK
2025-10-15 08:00:17,192.168.1.200,192.168.1.10,60001,80,TCP,234,1567,200,PSH-ACK
2025-10-15 08:00:19,185.220.101.45,192.168.1.50,33445,21,TCP,89,0,80,SYN
2025-10-15 08:00:20,185.220.101.45,192.168.1.50,33446,22,TCP,89,0,80,SYN
2025-10-15 08:00:21,185.220.101.45,192.168.1.50,33447,23,TCP,89,0,80,SYN
2025-10-15 08:00:22,192.168.1.100,203.0.113.45,54324,443,TCP,1123,9234,410,PSH-ACK
2025-10-15 08:00:23,185.220.101.45,192.168.1.50,33448,25,TCP,89,0,80,SYN
2025-10-15 08:00:24,185.220.101.45,192.168.1.50,33449,80,TCP,89,0,80,SYN
2025-10-15 08:00:25,185.220.101.45,192.168.1.50,33450,443,TCP,89,0,80,SYN
2025-10-15 08:00:26,192.168.1.105,203.0.113.67,44569,80,TCP,678,4123,360,PSH-ACK
2025-10-15 08:00:27,185.220.101.45,192.168.1.50,33451,3306,TCP,89,0,80,SYN
2025-10-15 08:00:28,185.220.101.45,192.168.1.50,33452,3389,TCP,89,0,80,SYN
2025-10-15 08:00:29,192.168.1.200,192.168.1.10,60002,80,TCP,345,2134,240,PSH-ACK
2025-10-15 08:00:30,185.220.101.45,192.168.1.50,33453,5432,TCP,89,0,80,SYN
2025-10-15 08:00:31,185.220.101.45,192.168.1.50,33454,8080,TCP,89,0,80,SYN
2025-10-15 08:00:32,192.168.1.100,8.8.8.8,55124,53,UDP,82,131,55,None
2025-10-15 08:00:33,185.220.101.45,192.168.1.50,33455,8443,TCP,89,0,80,SYN
2025-10-15 08:00:34,192.168.1.105,93.184.216.34,44570,80,TCP,789,5432,390,PSH-ACK
2025-10-15 08:00:35,185.220.101.45,192.168.1.50,33456,9090,TCP,89,0,80,SYN
2025-10-15 08:00:36,192.168.1.100,203.0.113.45,54325,443,TCP,1567,11234,480,PSH-ACK
2025-10-15 08:00:38,192.168.1.200,45.33.32.156,60003,445,TCP,3456789,234,15000,PSH-ACK
2025-10-15 08:00:40,192.168.1.105,203.0.113.67,44571,80,TCP,567,3245,310,PSH-ACK
2025-10-15 08:00:42,192.168.1.200,45.33.32.156,60004,445,TCP,4567890,345,18000,PSH-ACK
2025-10-15 08:00:44,192.168.1.100,203.0.113.45,54326,443,TCP,934,7823,390,PSH-ACK
2025-10-15 08:00:46,192.168.1.200,45.33.32.156,60005,445,TCP,5678901,456,21000,PSH-ACK
