timestamp,temperature,humidity,pressure,vibration,current,voltage
2024-01-01 00:00:00,22.5,45.2,1013.25,0.12,2.3,220.5
2024-01-01 00:01:00,22.6,45.3,1013.26,0.11,2.31,220.6
2024-01-01 00:02:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:03:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:04:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:05:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:06:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:07:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:08:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:09:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:10:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:11:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:12:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:13:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:14:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:15:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:16:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:17:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:18:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:19:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:20:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:21:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:22:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:23:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:24:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:25:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:26:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:27:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:28:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:29:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:30:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:31:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:32:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:33:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:34:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:35:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:36:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:37:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:38:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:39:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:40:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:41:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:42:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:43:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:44:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:45:00,22.6,45.3,1013.26,0.12,2.31,220.6
2024-01-01 00:46:00,22.4,45.1,1013.24,0.13,2.29,220.4
2024-01-01 00:47:00,22.7,45.4,1013.27,0.12,2.32,220.7
2024-01-01 00:48:00,22.5,45.2,1013.25,0.11,2.3,220.5
2024-01-01 00:49:00,22.6,45.3,1013.26,0.12,2.31,220.6
